Exam,goal,book_id,book_code,name
8th CBSE,CBSE,5f22723ddf29eca07a230f23/EL08S070/8/Science,EL08S070,Science for Class 8
8th CBSE,CBSE,5f22baaedf29eca07a237f87/EL08S050/8/Science,EL08S050,Expanded Universal Science
8th CBSE,CBSE,5f24167fdf29eca07a262262/EL08S075/8/Science,EL08S075,New Learning Science
8th CBSE,CBSE,5f241bc8df29eca07a2644a4/EL08S007/8/Science,EL08S007,Basic Science for Class 8
8th CBSE,CBSE,5f2465bf10f983a2e9314971/EL08S001/8/Science,EL08S001,SCIENCE
8th CBSE,CBSE,5f24674610f983a2e93150a9/EL08S301/8/Science,EL08S301,Science in Everyday Life
8th CBSE,CBSE,5f2d595862e9210d25524023/EL08S062/8/Science,EL08S062,Galaxy A Course in Science
8th CBSE,CBSE,5f22bcdadf29eca07a23919d/EL08M066/8/Mathematics,EL08M066,Mathematics for Class 8
8th CBSE,CBSE,5f465c2b1130f8fbbfe0101a/EL08S035/8/Science,EL08S035,New Science Ahead 8
8th CBSE,CBSE,5f478306fec0d9f6977972d2/EL08S047/8/Science,EL08S047,Full Marks Science
8th CBSE,CBSE,5f4ccab8fec0d9f6977994cb/EL08S046/8/SCIENCE,EL08S046,All in One - Class 8 Science
CTET Paper 1,Teaching,5f29a0ad7cf738fff0bab6e6/PPGTET355/PrePG/TEACHING APTITUDE & TEACHING ATTITUDE,PPGTET355,Teaching Aptitude & Teaching Attitude
CTET Paper 1,Teaching,5f2ba1a6704544bf178c092c/PPGTET366/PrePG/Environmental Studies & Pedagogy,PPGTET366,CTET Environmental Studies Paper 1
5th CBSE,CBSE,5ebd6faac2ecd101167f74ba/NCERT5M01/5/Mathematics,NCERT5M01,NCERT Mathematics
5th CBSE,CBSE,5f1a6fe4f917ee53a5eefa74/EL05M003/5/Mathematics,EL05M003,Destination Maths
5th CBSE,CBSE,5ebcf47d88089454bc1cffc7/EL05S042/5/Science,EL05S042,Expanded Universal Science
5th CBSE,CBSE,5f182e78e61885046e5eea9b/EL05S050/5/Science,EL05S050,Excel in Science
5th CBSE,CBSE,5ebd6184c2ecd101167f6891/EL05S002/5/Science,EL05S002,Mastering Science Book-5
5th CBSE,CBSE,5ebfdbe8c2ecd1011681f64d/EL05S023/5/Science,EL05S023,Science for Juniors
5th CBSE,CBSE,5ed9329a44008f129d195f5a/EL05S072/5/Science,EL05S072,Science Today Grade 5
5th CBSE,CBSE,5ed93cad44008f129d1970e0/EL05S073/5/Science,EL05S073,Science For Class 5
5th CBSE,CBSE,5ed9c9c244008f129d1995be/EL05S025/5/Science,EL05S025,Pruquest Science
5th CBSE,CBSE,5eda313944008f129d19f0e8/EL05S067/5/Science,EL05S067,Science in Life Today
5th CBSE,CBSE,5edf8be53dc2504431c9d99e/EL05S028/5/Science,EL05S028,Discover Science
5th CBSE,CBSE,5eea5072f547650828b62d80/EL05S048/5/Science,EL05S048,OCAS Science 5
5th CBSE,CBSE,5efb993027278334e9e62ec2/EL05S008/5/Science,EL05S008,The Joy of Science Today
5th CBSE,CBSE,5efc45c927278334e9e6b244/EL05S031/5/Science,EL05S031,Active Science for You Book 5
5th CBSE,CBSE,5f032a3e27278334e9ed2638/EL05S001/5/Science,EL05S001,Start Up Science
5th CBSE,CBSE,5f03ff6427278334e9edc3e0/EL05S062/5/Science,EL05S062,Everyday Science
5th CBSE,CBSE,5f042e9427278334e9ee24ef/EL05S055/5/Science,EL05S055,Awareness SCIENCE BOOK 5
5th CBSE,CBSE,5f043e9927278334e9ee478d/EL05S036/5/Science,EL05S036,New Trends In Science
5th CBSE,CBSE,5f04402427278334e9ee4f93/EL05S064/5/Science,EL05S064,INNOVATIONS SCIENCE
5th CBSE,CBSE,5f056ee927278334e9ef9c27/EL05S045/5/Science,EL05S045,INQUISITIVE SCIENCE for Class 5
5th CBSE,CBSE,5f05e59f9a10ea4cb3b8bbb9/EL05S020/5/Science,EL05S020,HEADSTART SCIENCE
5th CBSE,CBSE,5f05ea059a10ea4cb3b8c239/EL05S016/5/Science,EL05S016,Frank Experience Science 5
5th CBSE,CBSE,5f05f7b49a10ea4cb3b8fe49/EL05S018/5/Science,EL05S018,Frank Science 5
5th CBSE,CBSE,5f0ec4567f10acd6461849ed/EL05S007/5/Science,EL05S007,Science Around Us
5th CBSE,CBSE,5f0f35ab7f10acd6461a5b0c/EL05S003/5/Science,EL05S003,Frank Primary Science 5
5th CBSE,CBSE,5f182f4be61885046e5eef4c/EL05S060/5/Science,EL05S060,Science
5th CBSE,CBSE,5f23ea6ddf29eca07a25b8d3/EL05S128/5/Science,EL05S128,Active Science
5th CBSE,CBSE,5f2407e3df29eca07a25f3b2/EL05S011/5/Science,EL05S011,New Science in everyday life
5th CBSE,CBSE,5f24094cdf29eca07a25fc36/EL05S057/5/Science,EL05S057,Learning science for smarter life
5th CBSE,CBSE,5f61a272bb6c28be3d77feb6/EL05S021/5/Science,EL05S021,Science Magic 5
5th CBSE,CBSE,5f0482a027278334e9eeec08/EL05S032/5/Science,EL05S032,Science Today
5th CBSE,CBSE,5ebed711c2ecd10116813f36/NC05S001/5/Environmental Studies,NC05S001,NCERT EVS
5th CBSE,CBSE,5f04809927278334e9eee5af/EL05S013/5/Science,EL05S013,Success With Science Ahead
5th CBSE,CBSE,5edf3f4c3dc2504431c9cafe/EL05M057/5/Mathematics,EL05M057,Mental Maths
NEET,Medical,5edb3d5844008f129d1a1b6e/PUGNEET5199/11/Biology,PUGNEET5199,"Daily Practice Problems (DPP) Unit IX: Biotechnology, Unit X: Ecology NEET"
NEET,Medical,5ef77be24e12dae87a5c7a6b/PUGNEET5196/PreUG/Biology,PUGNEET5196,Daily Practice Problems (DPP) Unit V: Human Physiology NEET
NEET,Medical,5f02da5827278334e9eca25f/PUGNEET5198/PreUG/Biology,PUGNEET5198,Daily Practice Problems (DPP) Unit 7: Genetics and Evolution Unit 8: Biology in Human Welfare
NEET,Medical,5f0d9d579ba1ee9b28cebc0f/PUGNEET5197/PreUG/Biology,PUGNEET5197,Daily Practice Problems (DPP) Unit 6 : Reproduction NEET
NEET,Medical,5f0ef9b37f10acd646195561/PUGNEET296/Pre UG/BIOLOGY,PUGNEET296,Alpha Question Bank Series Plant Physiology -1
NEET,Medical,5f0efcb17f10acd646196311/PUGNEET298/PreUG/Biology,PUGNEET298,Alpha Question Bank Series Structural Organization In Animal
NEET,Medical,5f15bd317f10acd646214e19/PUGNEET324/PreUG/BIOLOGY,PUGNEET324,Alpha Question Bank Series Living World
NEET,Medical,5f6360fb7574fea980bcd708/PUGNEET5195/Pre UG/Biology,PUGNEET5195,"Daily Practice Problems (DPP) Unit III: Cell: Structure and Functions, Unit IV: Plant Physiology NEET"
NEET,Medical,5edb2b7844008f129d1a1a2c/PUGNEET5188/11/Physics,PUGNEET5188,Daily Practice Problems (DPP) Magnetism and Electromagnetic Induction NEET
NEET,Medical,5edb2c8244008f129d1a1aa9/PUGNEET5189/11/Physics,PUGNEET5189,Daily Practice Problems (DPP) Waves and Thermodynamics NEET
NEET,Medical,5ef44640e52bc182d35ad251/PUGNEET5193/PreUG/Physics,PUGNEET5193,Daily Practice Problems (DPP) Mechanics I NEET
NEET,Medical,5ef596e44e12dae87a5acb12/PUGNEET5191/PreUG/Physics,PUGNEET5191,Daily Practice Problems (DPP) Optics and Modern Physics NEET
NEET,Medical,5f05ba4d27278334e9f058e5/PUGNEET5190/PreUG/Physics,PUGNEET5190,DPP ELECTROSTATICS AND CURRENT ELECTRICITY NEET
NEET,Medical,5f0c86829ba1ee9b28ccb725/PUGNEET5192/PreUG/Physics,PUGNEET5192,Daily Practice Problems (DPP) Mechanics 2 NEET
NEET,Medical,5ed92bb844008f129d195d94/PUGNEET5187/11/Chemistry,PUGNEET5187,Daily Practice Problems (DPP) Inorganic Chemistry 2 NEET
NEET,Medical,5eda0c1444008f129d19e14e/PUGNEET5186/11/Chemistry,PUGNEET5186,Daily Practice Problems (DPP) Inorganic Chemistry 1 NEET
NEET,Medical,5eda1bd044008f129d19e218/PUGNEET5184/11/Chemistry,PUGNEET5184,Daily Practice Problems (DPP) Physical Chemistry 1 NEET
NEET,Medical,5eea2601f547650828b56578/PUGNEET5183/11/Chemistry,PUGNEET5183,Daily Practice Problems (DPP) Organic Chemistry 2 NEET
NEET,Medical,5eeb8ada9764e032c4fd56e3/PUGNEET5185/11/Chemistry,PUGNEET5185,Daily Practice Problems (DPP) Physical Chemistry 2 NEET
NEET,Medical,5ef44519e52bc182d35ad052/PUGNEET5182/PreUG/Chemistry,PUGNEET5182,DPP Organic Chemistry 1 NEET
1st CBSE,CBSE,5efba50a27278334e9e644bc/EL05S004/5/Science,EL05S004,Science Voyage - 5
1st CBSE,CBSE,5f61b3a685e7a55d3eb5a9e0/ELNSO-S09/1/Biology,ELNSO-S09,NSO Science Olympiad Workbook 1
1st CBSE,CBSE,5ebd0b4588089454bc1d190b/EL01S025/1/Science,EL01S025,Discover Science
1st CBSE,CBSE,5ebeda4fc2ecd101168144dc/EL01S008/1/Science,EL01S008,New Integrated Primary Science
1st CBSE,CBSE,5ed9288544008f129d195d7c/EL01S021/1/Science,EL01S021,Science Magic 1
1st CBSE,CBSE,5ed9d7fc44008f129d19b2dd/EL01S005/1/Science,EL01S005,Active Science
1st CBSE,CBSE,5ed9fcdd44008f129d19d565/EL01S007/1/Science,EL01S007,Frank Primary Science 1
1st CBSE,CBSE,5eea15fdf547650828b50605/EL01S030/1/Science,EL01S030,Science Today
1st CBSE,CBSE,5f03fd8727278334e9edc0a7/EL01S015/1/Science,EL01S015,Universal Science
1st CBSE,CBSE,5f042a8027278334e9ee1bff/EL01S018/1/Science,EL01S018,The Science Time
1st CBSE,CBSE,5f042fe627278334e9ee29c4/EL01S010/1/Science,EL01S010,Galaxy A Course In Science
1st CBSE,CBSE,5f04788227278334e9eed372/EL01S001/1/Science,EL01S001,Excel Science
1st CBSE,CBSE,5f11cced7f10acd6461d6174/EL01S047/1/Science,EL01S047,Connect with Science
1st CBSE,CBSE,5f12a2857f10acd6461df860/EL01S028/1/Science,EL01S028,Science for generations
1st CBSE,CBSE,5f12a6377f10acd6461e11df/EL01S003/1/Science,EL01S003,LEARNING SCIENCE FOR SMARTER LIFE
1st CBSE,CBSE,5f228d01df29eca07a233b64/EL01S052/1/Science,EL01S052,Science Ahead
1st CBSE,CBSE,5ebd011388089454bc1d0d4d/EL01M008/1/Mathematics,EL01M008,Grow With Numbers
1st CBSE,CBSE,5eea2b2af547650828b58093/EL01M048/1/Mathematics,EL01M048,Math-Magic
1st CBSE,CBSE,5eea30f2f547650828b59ea6/EL01M035/1/Mathematics,EL01M035,MATHS MATTERS 1
1st CBSE,CBSE,5eeb11c49764e032c4fc93d5/EL01M040/1/Mathematics,EL01M040,Math Zing!
1st CBSE,CBSE,5efb8fc227278334e9e61c13/EL01M034/1/Mathematics,EL01M034,Nine Hats Mathematics Integrated Coursebook 1
1st CBSE,CBSE,5efba1b027278334e9e63f60/EL01M057/1/Mathematics,EL01M057,Precise Mathematics
1st CBSE,CBSE,5f04290227278334e9ee1856/EL01M065/1/Mathematics,EL01M065,NCERT Practice Workbook Mathematics
1st CBSE,CBSE,5f0ebe627f10acd646181ecc/EL01M032/1/Mathematics,EL01M032,Discovering Mathematics Book 1
1st CBSE,CBSE,5f240672df29eca07a25ec97/EL01M025/1/Mathematics,EL01M025,Together With New Mathematics
1st CBSE,CBSE,5f240abfdf29eca07a260679/EL01M010/1/Mathematics,EL01M010,Explore Mathematics
1st CBSE,CBSE,5f19493be61885046e601917/EL01S029/1/Science,EL01S029,The incredible science
1st CBSE,CBSE,5f12a5737f10acd6461e0489/EL01S022/1/Science,EL01S022,EUREKA PLUS Bringing science to life
1st CBSE,CBSE,5efc498a27278334e9e6bbfa/EL03S035/3/Science,EL03S035,Awareness Science (book 3)
1st CBSE,CBSE,5f564cf19f347739ee767ca9/EL01M023/1/Mathematics,EL01M023,Destination Maths
1st CBSE,CBSE,5f6c3eec91f247e389ebda8a/EL01M031/1/Mathematics,EL01M031,Unified Mathematics
1st CBSE,CBSE,5efca9ad27278334e9e73835/EL05S019/5/Science,EL05S019,Learning Elementary Science
1st CBSE,CBSE,5f12a4ba7f10acd6461e017f/EL01M036/1/Mathematics,EL01M036,UNDERSTANDING MATHEMATICS
