Goal,Exam,Subject,Unit,Chapter Name,"All book questions live

(Vipin)","All acquired questions live

(Ajay & Tanishq)",No NQE Deficiency,No PAJ Deficiency,"No ATG Deficiency

(Vipin)","Chapter Appearing in right sequence

(Ajay & Tanishq)","Topic Appearing in right sequence

(Ajay & Tanishq)","Video Appearing in right sequence

(Ajay & Tanishq)",NQE verification for each chapter,"KG Widget showing all data

(Gopi)","Chapter Tests Visible

(Gopi)","Chapter Tests Tiles Verified

(Gopi)",Topic Tile approved,Chapter Tile approved,Searchable,Growth Hack Dashboard Visible,C Support Actions Identified,C Support Actions Enabled,Questions Live
CBSE,10th CBSE,Mathematics,Algebra,Arithmetic Progressions,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Mathematics,Algebra,Pair of Linear Equations in Two Variables,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Mathematics,Algebra,Polynomials,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Mathematics,Algebra,Quadratic Equations,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Mathematics,Arithmetic,Real Numbers,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Mathematics,Geometry,Areas Related to Circles,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Mathematics,Geometry,Circles,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Mathematics,Geometry,Constructions,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Mathematics,Geometry,Coordinate Geometry,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Mathematics,Geometry,Surface Areas and Volumes,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Mathematics,Geometry,Triangles,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Mathematics,Statistics and Probability,Probability,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Mathematics,Statistics and Probability,Statistics,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Mathematics,Trigonometry,Introduction to Trigonometry,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Mathematics,Trigonometry,Some Applications of Trigonometry,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Biology,Control and Coordination,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Biology,Heredity and Evolution,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Biology,How do Organisms Reproduce?,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Biology,Life Processes,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Biology,Our Environment,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Biology,Sustainable Management of Natural Resources,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Chemistry,"Acids, Bases and Salts",,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Chemistry,Carbon and its Compounds,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Chemistry,Chemical reactions and Equations,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Chemistry,Metals and non-metals,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Chemistry,Periodic classification of elements,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Physics,Electricity,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Physics,Light – Reflection and Refraction,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Physics,Magnetic Effects of Electric Current,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Physics,Sources of Energy,,,,,,,,,,,,,,,,,,,Not found
CBSE,10th CBSE,Science,Physics,The Human Eye and the Colourful World,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Cell : Structure and Functions,Biomolecules,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Cell : Structure and Functions,Cell : The Unit of Life,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Cell : Structure and Functions,Cell Cycle and Cell Division,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Diversity in the Living World,Animal Kingdom,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Diversity in the Living World,Biological Classification,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Diversity in the Living World,Plant Kingdom,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Diversity in the Living World,The Living World,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Human Physiology,Body Fluids and Circulation,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Human Physiology,Breathing and Exchange of Gases,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Human Physiology,Chemical Coordination and Integration,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Human Physiology,Digestion and Absorption,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Human Physiology,Excretory Products and their Elimination,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Human Physiology,Locomotion and Movement,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Human Physiology,Neural Control and Coordination,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Plant Physiology,Mineral Nutrition,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Plant Physiology,Photosynthesis in Higher Plants,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Plant Physiology,Plant Growth and Development,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Plant Physiology,Respiration in Plants,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Plant Physiology,Transport in Plants,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Structural Organisation in Plants and Animals,Anatomy of Flowering Plants,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Structural Organisation in Plants and Animals,Morphology of Flowering Plants,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Biology,Structural Organisation in Plants and Animals,Structural Organisation in Animals,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Chemistry,Inorganic Chemistry,Chemical Bonding and Molecular Structure,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Chemistry,Inorganic Chemistry,Classification of Elements and Periodicity in Properties,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Chemistry,Inorganic Chemistry,Environmental Chemistry,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Chemistry,Inorganic Chemistry,Hydrogen,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Chemistry,Inorganic Chemistry,The p-Block Elements,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Chemistry,Inorganic Chemistry,The s-Block Elements,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Chemistry,Organic Chemistry,Hydrocarbons,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Chemistry,Organic Chemistry,Organic Chemistry- Some Basic Principles and Techniques,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Chemistry,Physical Chemistry,Equilibrium,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Chemistry,Physical Chemistry,Redox Reactions,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Chemistry,Physical Chemistry,Some Basic Concepts of Chemistry,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Chemistry,Physical Chemistry,States of Matter,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Chemistry,Physical Chemistry,Structure of Atom,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Chemistry,Physical Chemistry,Thermodynamics,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Algebra,Binomial Theorem,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Algebra,Complex Numbers and Quadratic Equations,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Algebra,Linear Inequalities,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Algebra,Mathematical Induction,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Algebra,Permutation and Combination,,,,,,,,,,,,,,,,,,,Not found
CBSE,11th CBSE,Mathematics,Algebra,Probability,,,,,,,,,,,,,,,,,,,Not found
